_id,link,price,brand,name
c219777112,https://www.wildberries.ru/catalog/219777112/detail.aspx,14826,GenMachine,Неттоп (Athlon 3150U 8ГБ 256ГБ)
c218702700,https://www.wildberries.ru/catalog/218702700/detail.aspx,27302,GenMachine,Неттоп (R9-5900HX 16GB 512NVME)
c218664368,https://www.wildberries.ru/catalog/218664368/detail.aspx,21917,GenMachine,Неттоп (R7-5700U 16GB 512NVME)
c101322286,https://www.wildberries.ru/catalog/101322286/detail.aspx,11787,TOPIFY,Мини ПК Beelink Mini S 8 256 Gb
c178132714,https://www.wildberries.ru/catalog/178132714/detail.aspx,11823,SKYTEK,Мини ПК Beelink Mini S 8 128 Gb
c183104151,https://www.wildberries.ru/catalog/183104151/detail.aspx,13309,Azerty,"Неттоп AZ-0023 (Intel i7 2x2.7GHz, 8Gb, 512Gb SSD, Wi-Fi, B"
c186165695,https://www.wildberries.ru/catalog/186165695/detail.aspx,24799,MSI,Неттоп Cubi N ADL-018RU slim N200 4Gb SSD128Gb UHDG W11P
c216513602,https://www.wildberries.ru/catalog/216513602/detail.aspx,12194,Azerty,"Неттоп AZ-0015-256 (Intel i7 2x2.7GHz, 8Gb, 256 Gb SSD)"
c216513605,https://www.wildberries.ru/catalog/216513605/detail.aspx,17753,Azerty,"Неттоп AZ-0015 (Intel i7 2x2.7 GHz, 8Gb, 128 Gb SSD)"
c187808818,https://www.wildberries.ru/catalog/187808818/detail.aspx,8185,Beelink,Мини-пк Неттоп T4 Pro N3350 Win10pro
c54448987,https://www.wildberries.ru/catalog/54448987/detail.aspx,9093,Beelink,"Мини-ПК (неттоп) T4 Pro, 4 64 Гб, Windows 10 Компьютер"
c69072067,https://www.wildberries.ru/catalog/69072067/detail.aspx,10950,TOPIFY,Мини ПК Beelink GK Mini 8 256Gb J4125
c144848620,https://www.wildberries.ru/catalog/144848620/detail.aspx,12134,Volken,Мини ПК Beelink Mini S 8 256 Gb
c178139884,https://www.wildberries.ru/catalog/178139884/detail.aspx,14545,SKYTEK,Мини ПК Beelink Mini S 8 256 Gb
c158193455,https://www.wildberries.ru/catalog/158193455/detail.aspx,13309,Azerty,Мини ПК AZ-0015-512 2x2.7GHz 8Gb 512Gb
c186165777,https://www.wildberries.ru/catalog/186165777/detail.aspx,41628,MSI,Неттоп Cubi 5 12M-097XRU i5 1235U 16Gb SSD512Gb Iris Xe
c144852326,https://www.wildberries.ru/catalog/144852326/detail.aspx,11284,Volken,Мини ПК Beelink GK Mini 8 256Gb J4125
c101323054,https://www.wildberries.ru/catalog/101323054/detail.aspx,15038,DECK,Мини ПК Beelink Mini S 8 256 Gb
c178136429,https://www.wildberries.ru/catalog/178136429/detail.aspx,14227,SKYTEK,Мини ПК Beelink GK Mini 8 256Gb J4125
c211439235,https://www.wildberries.ru/catalog/211439235/detail.aspx,10139,Azerty,"Неттоп AZ-0013-256 (Intel i3 2x2.2GHz, 8Gb, 256 Gb SSD)"
c144881016,https://www.wildberries.ru/catalog/144881016/detail.aspx,12619,SAGE by Encome,Мини ПК Beelink Mini S 8 128 Gb
c207549206,https://www.wildberries.ru/catalog/207549206/detail.aspx,26536,iRU,Компьютер 310TLCN (1975168)
c208612609,https://www.wildberries.ru/catalog/208612609/detail.aspx,17443,FIREBAT,"Мини-компьютер, Intel N100, 16 512 Гб"
c211468724,https://www.wildberries.ru/catalog/211468724/detail.aspx,16798,Azerty,"Мини ПК AZ-0025 Ryzen R3 3300U, 4x2.10GHz, 16Gb, 512Gb SSD"
c176115770,https://www.wildberries.ru/catalog/176115770/detail.aspx,33854,SAGE by Encome,Мини ПК Beelink SER5 16 500 Гб
c211485669,https://www.wildberries.ru/catalog/211485669/detail.aspx,15194,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7 GHz, 8 Gb, 128Gb SSD"
c207549180,https://www.wildberries.ru/catalog/207549180/detail.aspx,32557,iRU,Компьютер 310TLCN (1975176)
c188174519,https://www.wildberries.ru/catalog/188174519/detail.aspx,13029,Azerty,"Неттоп AZ-0015-512 (Intel i7 2x2.7GHz, 8Gb, 512 Gb SSD)"
c207549179,https://www.wildberries.ru/catalog/207549179/detail.aspx,29190,iRU,Компьютер 310TLCN (1975173)
c207549176,https://www.wildberries.ru/catalog/207549176/detail.aspx,24321,iRU,Компьютер 310TLCN (1975169)
c211485660,https://www.wildberries.ru/catalog/211485660/detail.aspx,12968,Azerty,"Мини ПК AZ-0023 Intel i7 2x2.7GHz, 8Gb, 512Gb SSD"
c197752490,https://www.wildberries.ru/catalog/197752490/detail.aspx,14128,,Мини ПК Beelink Mini S 8 256 Gb
c147670847,https://www.wildberries.ru/catalog/147670847/detail.aspx,11405,Azerty,"Мини ПК AZ-0013 (Intel i3 2x2.2 GHz, 8Gb, 512Gb SSD)"
c186959643,https://www.wildberries.ru/catalog/186959643/detail.aspx,16160,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7GHz, 8Gb, 128Gb SSD"
c186959642,https://www.wildberries.ru/catalog/186959642/detail.aspx,12603,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7GHz, 8Gb, 256Gb SSD"
c211485675,https://www.wildberries.ru/catalog/211485675/detail.aspx,11851,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7GHz, 8Gb, 256Gb SSD"
c199866381,https://www.wildberries.ru/catalog/199866381/detail.aspx,30100,Beelink,Мини компьютер SEI 10 16Гб 500Гб
c177356413,https://www.wildberries.ru/catalog/177356413/detail.aspx,15160,JuniBox,Мини ПК неттоп К3+ DDR 8gb SSD 128gb
c207549190,https://www.wildberries.ru/catalog/207549190/detail.aspx,28272,iRU,Компьютер 310TLCN (1975170)
c194822755,https://www.wildberries.ru/catalog/194822755/detail.aspx,13809,DUO,Мини ПК Beelink Mini S 8 256 Gb
c174711341,https://www.wildberries.ru/catalog/174711341/detail.aspx,26460,Azerty,"Неттоп AZ-0012 (Intel P4415U 2x2.3GHz, 8Gb, 120 Gb SSD)"
c193532020,https://www.wildberries.ru/catalog/193532020/detail.aspx,18307,Azerty,"Неттоп AZ-0007-256 (Intel i5 2x2.5GHz, 8Gb, 256 Gb SSD)"
c192660871,https://www.wildberries.ru/catalog/192660871/detail.aspx,17753,Azerty,"Неттоп AZ-0007 (Intel i5 2x2.5GHz, 8Gb, 120 Gb SSD)"
c193532019,https://www.wildberries.ru/catalog/193532019/detail.aspx,17753,Azerty,"Неттоп AZ-0009-512 (Intel i3 2x2.4GHz, 8Gb, 512 Gb SSD)"
c179025125,https://www.wildberries.ru/catalog/179025125/detail.aspx,12793,Azerty,"Неттоп AZ-0018 (Intel i5 2x2.5GHz, 8Gb, 512Gb SSD, Wi-Fi, B"
c212786912,https://www.wildberries.ru/catalog/212786912/detail.aspx,10943,Azerty,"Неттоп AZ-0013-512 (Intel i3 2x2.2GHz, 8Gb, 512 Gb SSD)"
c211439240,https://www.wildberries.ru/catalog/211439240/detail.aspx,13120,Azerty,"Неттоп AZ-0014 (Intel i5 2x2.5 GHz, 8Gb, 128 Gb SSD)"
c207549196,https://www.wildberries.ru/catalog/207549196/detail.aspx,31344,iRU,Компьютер 310TLCN (1975175)
c207549181,https://www.wildberries.ru/catalog/207549181/detail.aspx,30122,iRU,Компьютер 310TLCN (1975174)
c207549177,https://www.wildberries.ru/catalog/207549177/detail.aspx,29152,iRU,Компьютер 310TLCN (1975172)
c207549188,https://www.wildberries.ru/catalog/207549188/detail.aspx,26081,iRU,Компьютер 310TLCN (1975167)
c207549187,https://www.wildberries.ru/catalog/207549187/detail.aspx,11747,iRU,Компьютер 110JLCN (1975158)
c208612609,https://www.wildberries.ru/catalog/208612609/detail.aspx,17443,FIREBAT,"Мини-компьютер, Intel N100, 16 512 Гб"
c211468724,https://www.wildberries.ru/catalog/211468724/detail.aspx,16798,Azerty,"Мини ПК AZ-0025 Ryzen R3 3300U, 4x2.10GHz, 16Gb, 512Gb SSD"
c176115770,https://www.wildberries.ru/catalog/176115770/detail.aspx,33854,SAGE by Encome,Мини ПК Beelink SER5 16 500 Гб
c211485669,https://www.wildberries.ru/catalog/211485669/detail.aspx,15194,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7 GHz, 8 Gb, 128Gb SSD"
c207549180,https://www.wildberries.ru/catalog/207549180/detail.aspx,32557,iRU,Компьютер 310TLCN (1975176)
c188174519,https://www.wildberries.ru/catalog/188174519/detail.aspx,13029,Azerty,"Неттоп AZ-0015-512 (Intel i7 2x2.7GHz, 8Gb, 512 Gb SSD)"
c207549179,https://www.wildberries.ru/catalog/207549179/detail.aspx,29190,iRU,Компьютер 310TLCN (1975173)
c207549176,https://www.wildberries.ru/catalog/207549176/detail.aspx,24321,iRU,Компьютер 310TLCN (1975169)
c211485660,https://www.wildberries.ru/catalog/211485660/detail.aspx,12968,Azerty,"Мини ПК AZ-0023 Intel i7 2x2.7GHz, 8Gb, 512Gb SSD"
c197752490,https://www.wildberries.ru/catalog/197752490/detail.aspx,14128,,Мини ПК Beelink Mini S 8 256 Gb
c147670847,https://www.wildberries.ru/catalog/147670847/detail.aspx,11405,Azerty,"Мини ПК AZ-0013 (Intel i3 2x2.2 GHz, 8Gb, 512Gb SSD)"
c186959643,https://www.wildberries.ru/catalog/186959643/detail.aspx,16160,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7GHz, 8Gb, 128Gb SSD"
c186959642,https://www.wildberries.ru/catalog/186959642/detail.aspx,12603,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7GHz, 8Gb, 256Gb SSD"
c211485675,https://www.wildberries.ru/catalog/211485675/detail.aspx,11851,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7GHz, 8Gb, 256Gb SSD"
c199866381,https://www.wildberries.ru/catalog/199866381/detail.aspx,30100,Beelink,Мини компьютер SEI 10 16Гб 500Гб
c177356413,https://www.wildberries.ru/catalog/177356413/detail.aspx,15160,JuniBox,Мини ПК неттоп К3+ DDR 8gb SSD 128gb
c207549190,https://www.wildberries.ru/catalog/207549190/detail.aspx,28272,iRU,Компьютер 310TLCN (1975170)
c194822755,https://www.wildberries.ru/catalog/194822755/detail.aspx,13809,DUO,Мини ПК Beelink Mini S 8 256 Gb
c174711341,https://www.wildberries.ru/catalog/174711341/detail.aspx,26460,Azerty,"Неттоп AZ-0012 (Intel P4415U 2x2.3GHz, 8Gb, 120 Gb SSD)"
c193532020,https://www.wildberries.ru/catalog/193532020/detail.aspx,18307,Azerty,"Неттоп AZ-0007-256 (Intel i5 2x2.5GHz, 8Gb, 256 Gb SSD)"
c192660871,https://www.wildberries.ru/catalog/192660871/detail.aspx,17753,Azerty,"Неттоп AZ-0007 (Intel i5 2x2.5GHz, 8Gb, 120 Gb SSD)"
c193532019,https://www.wildberries.ru/catalog/193532019/detail.aspx,17753,Azerty,"Неттоп AZ-0009-512 (Intel i3 2x2.4GHz, 8Gb, 512 Gb SSD)"
c179025125,https://www.wildberries.ru/catalog/179025125/detail.aspx,12793,Azerty,"Неттоп AZ-0018 (Intel i5 2x2.5GHz, 8Gb, 512Gb SSD, Wi-Fi, B"
c212786912,https://www.wildberries.ru/catalog/212786912/detail.aspx,10943,Azerty,"Неттоп AZ-0013-512 (Intel i3 2x2.2GHz, 8Gb, 512 Gb SSD)"
c211439240,https://www.wildberries.ru/catalog/211439240/detail.aspx,13120,Azerty,"Неттоп AZ-0014 (Intel i5 2x2.5 GHz, 8Gb, 128 Gb SSD)"
c207549196,https://www.wildberries.ru/catalog/207549196/detail.aspx,31344,iRU,Компьютер 310TLCN (1975175)
c207549181,https://www.wildberries.ru/catalog/207549181/detail.aspx,30122,iRU,Компьютер 310TLCN (1975174)
c207549177,https://www.wildberries.ru/catalog/207549177/detail.aspx,29152,iRU,Компьютер 310TLCN (1975172)
c207549188,https://www.wildberries.ru/catalog/207549188/detail.aspx,26081,iRU,Компьютер 310TLCN (1975167)
c207549187,https://www.wildberries.ru/catalog/207549187/detail.aspx,11747,iRU,Компьютер 110JLCN (1975158)
c208612609,https://www.wildberries.ru/catalog/208612609/detail.aspx,17443,FIREBAT,"Мини-компьютер, Intel N100, 16 512 Гб"
c211468724,https://www.wildberries.ru/catalog/211468724/detail.aspx,16798,Azerty,"Мини ПК AZ-0025 Ryzen R3 3300U, 4x2.10GHz, 16Gb, 512Gb SSD"
c176115770,https://www.wildberries.ru/catalog/176115770/detail.aspx,33854,SAGE by Encome,Мини ПК Beelink SER5 16 500 Гб
c211485669,https://www.wildberries.ru/catalog/211485669/detail.aspx,15194,Azerty,"Мини ПК AZ-0015 Intel i7 2x2.7 GHz, 8 Gb, 128Gb SSD"
c207549180,https://www.wildberries.ru/catalog/207549180/detail.aspx,32557,iRU,Компьютер 310TLCN (1975176)
c188174519,https://www.wildberries.ru/catalog/188174519/detail.aspx,13029,Azerty,"Неттоп AZ-0015-512 (Intel i7 2x2.7GHz, 8Gb, 512 Gb SSD)"
c207549179,https://www.wildberries.ru/catalog/207549179/detail.aspx,29190,iRU,Компьютер 310TLCN (1975173)
c207549176,https://www.wildberries.ru/catalog/207549176/detail.aspx,24321,iRU,Компьютер 310TLCN (1975169)
c211485660,https://www.wildberries.ru/catalog/211485660/detail.aspx,12968,Azerty,"Мини ПК AZ-0023 Intel i7 2x2.7GHz, 8Gb, 512Gb SSD"
c197752490,https://www.wildberries.ru/catalog/197752490/detail.aspx,14128,,Мини ПК Beelink Mini S 8 256 Gb
c147670847,https://www.wildberries.ru/catalog/147670847/detail.aspx,11405,Azerty,"Мини ПК AZ-0013 (Intel i3 2x2.2 GHz, 8Gb, 512Gb SSD)"
